func_id,npc,speaker,caller_guess,offset_key,segment,total_segments,has_var,text
0x009A,,Erethian,,0x81,0,1,False,"""I'll speak to thee no more, Avatar!"" He ignores you."
0x009A,,Erethian,,0xb8_0x113,0,1,True,"At your approach, the old man straightens and looking directly at you he says, ""Well met, <PLAYER_NAME>. I am called Erethian. Although thou dost not know me, I know thee well."""
0x009A,,Erethian,,0x15d,0,1,False,"""I have seen thee destroy Mondain's power and so defeat that misguided mage, I have seen thee vanquish the enchantress Minax, I have also seen, in a very unique way, how thou brought low the hellspawn Exodus."""
0x009A,,Erethian,,0x22e,0,1,False,He falls silent here and you notice that the old man's eyes are milky white.
0x009A,,Erethian,,0x29d_0x2b5,0,1,True,"""Greetings once again, <PLAYER_NAME>. How may I assist thee?"" The blind old man looks unerringly in your direction."
0x009A,,Erethian,,0x305,0,1,False,"""I'll never get any work done like this! What do you wish of me?"" Erethian seems a little pevish at this point."
0x009A,,Erethian,,0x419,0,1,False,"""Could this possibly be true?"" Erethian's blind eyes light up with unabashed glee. ""What an opportunity I have here."""
0x009A,,Erethian,,0x48f,0,1,False,"He once again notices your presence. ""Now, do not let any strange ideas of destruction enter thy mind, Avatar. I shan't let thee deprive me of this chance to experience a true wonder of the world. Run along now... Is there not a right to be wronged, somewhere else?"""
0x009A,,Erethian,,0x5b7,0,1,False,"The elderly mage frowns. ""I sense no great evil, but then I never did quite get the knack of cosmic awareness. Nevertheless, don't worry thyself over much. These things tend to work themselves out."" You feel as if you've just been patted on the head and asked to go play elsewhere."
0x009A,,Erethian,,0x6f1,0,1,False,"""Ah, yes. I once had a scroll that told of a talisman by that name. If only I could remember where I put it. Dost thou by chance have the parchment entitled Scroll of Infinity with thee?"""
0x009A,,Erethian,,0x7ac,0,1,False,"""If thou dost not have the scroll, I cannot help thee in this matter."""
0x009A,,Erethian,,0x7f3,0,1,False,"""Here we are. Now then, it appears to be written in a strange format. One might even say a code of sorts... I have it! Apparently, the Talisman currently resides in the Great Void. A plane somewhat removed from ours. If thou wishest to gain access to this void, thou shalt need to craft two lenses: one concave, the other convex. Light focused through the properly enchanted lenses will open a conduit between our realm and the void. I believe this treatise speaks of three Talismans of Principle that send out a call to the Infinity Talisman and bring it here. Once here, it would seem that its sole purpose is to coerce a powerful force into the void."" A thought hits the mage like lightning strikes a tree. ""Oh no, Avatar... Thou shan't gain any more aid from me. I may be blind, but I see through thy sham. I'll not help thee send the Core into the void."" Erethian falls silent, and it would appear that he'll speak no more."
0x009A,,Dark Core,,0xb94,0,1,False,"Arcadion's voice whispers to you like ripple in still pond, ""Fear not, my master. I have some knowledge of these matters."""
0x009A,,Dark Core,,0xc10,0,1,False,"""Very well. I shall need the scroll to give thee further information."""
0x009A,,Dark Core,,0xc57,0,1,False,"""Dost thou have the Scroll of Infinity amongst thy possessions?"""
0x009A,,Dark Core,,0xc98,0,1,False,"""I needs must touch the scroll to glean its meaning. Else I'll not be able to help thee in this matter."""
