func_id,npc,speaker,caller_guess,offset_key,segment,total_segments,has_var,text
0x0401,Iolo,Iolo,,0xb4_0x139_0x1f3,0,2,True,瓣繡?疇??疇?瞼疇瞿簪癟??癡??矇?簫疆??矇??癡??瓣翻?簿翹?瓣罈?癟??癡繕繚瓣職?疆??矇罈?矇?瞽癟??瓊??瓣罈?疇??疆?簪疆?瞿瓣翻?簿翹?矇?穡疇?糧矇?簡疇?繙矇穢?疇??癟??癟竅?疇簧繒瓊??瓣罈?疇翹繕疇?織疇瞻禮癟竅?瓊??瓊??<PLAYER_NAME>疆??疆??疆簡?疆??癟??矇?簪簿翹?疇??疇??疆??疆簫瞿疇聶?疆?糧簿翹?瓊??癡礎?疆?簪癡??癡??矇?瞿疇?瞽瓣翹?疇?穡矇??疇簞簣疇瞼翻瓣繙?簿翹?瓊??癟?繞疇職?...瓣翻?癟??癟??簿翹?癡穠簞癡穠穠矇簫?疆糧?疇簧?癡??瓣繙?? 矇??疇簞簣疆?簪疆織罈癟??癟??癟??癡簫?疆??簿翹?
0x0401,Iolo,Iolo,,0xb4_0x139_0x1f3,1,2,True, 疇??簿翹?瓣翻?疇?簪癟?瞼矇??簿翹?<PLAYER_NAME>瓊??疇職?瓣繡?疆竅癒癡礎?矇?瞽疇?簞癟?職疇?穡簿翹?Britannia 疇繚簡癟繞?矇??疇?穢癟?職疇繒織瓣繙?簿翹?疆??矇繙翹瓣翻?矇?翻疆簡?癡??簿翹?瓊??
0x0401,Iolo,Iolo,,0x24c,0,3,False,Iolo 疇?織癡瞿癒疇??疇?瞼癡??簿翹?瓊??癟??瓣職?疇瞻禮疆礎? Britannia 癟??疆??矇??癟繕?疆禮?瓣繡?疇??簿翹?疇??簿翹?矇?穡瓣職聶疇?礎瓊??瓊??
0x0401,Iolo,Iolo,,0x24c,1,3,False,瓣罈?疆?瞽疇職穢瓣繙?疆簫瞿疇繡繡癟??矇?糧矇??瓊??瓊??疇瞼翻疇?禮簿翹?疆??癟瞽繙疇簪礎癡??瓣繙?瓣繡?矇罈?瓊??疆簡?癡職礎疆糧?簿翹?矇??疆簧繕疆??矇??疆??瓣繡?癟?織疇?穡癟??疇?穡 Britannia 瓊??瓊??
0x0401,Iolo,Iolo,,0x24c,2,3,False, 瓊??瓣繡?矇??...癡??癡??簿翹?癟簫?疆??疇??癡穡織疇?繞瓣罈?瓣繙繙簿翹?瓣罈?疇??瓣繡?疇簧?疇職?矇竄?癡??癡礎?疇?簞瓣翻?簿翹?疆簫癒癡聶?瓣職?疇?簞 Trinsic簿翹?瓊??
0x0401,Iolo,Petre,,0x39d_0x3d6,0,1,True,癡??疆?瞼癟??癡職簡疇瞻竄疆??疆?繚 Iolo簿翹?瓊??疇??癟??簿翹?瓣翻?癡礎?瓣繡?癡礎?疇繡繞<VAR> 矇礎竅疇罈?疇?罈癟??癟??簿翹?矇??疇瞻穠疇?簪疆??瓣繙?簿翹?瓊??
0x0401,Iolo,Iolo,,0x3ff,0,2,False,Iolo 癟繕?疆?翹疆?糧癡繕繚癟?繙瓣罈?瓣罈?矇繙翹瓣職? Trinsic簿翹?癡??瓣繡?癟??癟竅?疇簧繒疆簡?瓣繙?瓊??瓣罈?矇罈?瓣繙?矇罈?矇?簫
0x0401,Iolo,Iolo,,0x3ff,1,2,False, 瓊??疇??疇簞?簿翹?矇??瓣翻?疆??疇?? Petre 瓣罈?疇瞻穢疆?穢瓣繡?癟??疇?簞瓣繡?疇瞻穠疇瞼翻癟??疆?簣癡瞼聶瓊??矇礎竅疇罈?癡瞿癒矇?瞽癟??癟??疇?禮簿翹?疆??矇?穠瓣翻?瓣繡?癡繕繚瓊??瓊??
0x0401,Iolo,Iolo,,0x4c8,0,1,False,Iolo 疆??瓣翻?疆??疇?簞瓣繡?疆??瓣翻?癡?簡癡穠穠簿翹?瓊??癡??癡??簿翹?癟?繙瓣繙?疆??疇??疇?簣疇??癟??癟??疆?繙癡??疆?糧簿翹?疆??疇翹繚癟??疇罈繙癡簫簞瓣翻?癡穢簡疇?罈癡簡繚矇?罈疆罈?矇翹?瓊??瓊??
0x0401,Iolo,Iolo,,0x55b,0,1,False,瓊??疆?簣疆簫?簿翹?疆??瓣繡?癡繚?疇簞?疇?繚癟?繙瓣翹?瓊??瓊??
0x0401,Iolo,Iolo,,0x583,0,1,False,瓊??疇瞼翻疇?禮簿翹?疆??疆?糧瓣翻?疇繚簡癟繞?疇簫繡疇?簞疆??癡穡?瓣繙?瓊??疆??疆??矇??疆?簞疇??疇?瞼矇??瓣翹?瓊??瓊??
0x0401,Iolo,Iolo,,0x603,0,1,False,瓊??疆??癟??癡??疆??疇??簿翹?瓣翻?矇??癡礎?瓣罈?矇繙翹簿翹?瓊?? Iolo 矇??矇繙翹疇??矇??瓊??
0x0401,Iolo,Iolo,,0x650_0x681,0,1,True,瓣翻?疆??疇??疇?翹瓣繙?瓣繡?癡?簡瓊??瓊??瓣翻?疇?穡矇??癟?穢癟竅?疇??簿翹?<HONORIFIC>簿翹?癡穠?瓣繡?疇?繙瓣翻?癟??癡??疆??疇?? Iolo 瓣繙?疇??簿翹?瓊??
0x0401,Iolo,Iolo,,0x6af,0,1,False,瓊??疇?瞻疆??癡簫簪疆?竅簿翹?疆??癡?翻癡穠穠瓣繡?疇??矇癒?癟??疆??瓣繡?疆?竅簿翹?矇??疆?簪癡?翻癡簧?瓣繙繙癡翹?矇竅?矇?簣癡簧?癟?禮疆?穢疆??癟??矇簫?疆糧?疇繚瞼疇?繚瓊??瓊??
