func_id,offset_key,segment
0x0269,0_123_1a7_36e_4cd_55e_5a5_606_68e_787_958_97d_9a5_9da_9f4_a87_aa9_b31_c42_d79_ec7,0
0x0406,7_33_d6_167_17d,0
0x0406,1cb_1f0_25f_28b_2a4_2fb_33e_3b5_416_451_4eb_566_5e1_655_68f_6d2_875_891_8ce_911_975_9a9_ad3_b0a_b74,0
0x0407,1c_68,0
0x040A,4200_4200_5a_ba_d6_1d00_116_189_21a_245_1c00,0
0x040A,279_2d0_32b_33b_33f_358_389,0
0x040A,3ae_40c_43b_483_4f3_643_719_75c_77e_79d_1c00_7f1_853_882,0
0x040A,954_1c00,0
0x040E,0_3a_ee_120_15b_16a_1bd_297_311,0
0x0412,47_d0_11c_153,0
0x041A,0_44_89_c6_23a_4b3_4f6_512_5b7_5e8_601_714_770_822_899_94d_9bd_9fa_a4d_ab5,0
0x041A,afe_b5b_c10_cf5_df0_f18_109c_1181_1280_1340_1425_1510_15b9_15b9_161d_15b9_16f8_1741_17b7_1800_183e_189d_19a4_19e4_1a03_1a91_1b1e_1b6d_1be6_1c09_1c40_1d1c_1d7b_1f99_204c_20a9_2107_2177,0
0x041B,28_8c_dc_f5,0
0x0423,1c_53_ab_df_15b_1e0_299_30c_37c_3f2_40f_447_577_74a_76f_84f,0
0x0425,31_aa_c0_c7_fb_133_167_18c_1ed_200_237_24c_28e_2db_332_36d,0
0x0429,0_2e_73_e1_124,0
0x042A,22_59_8d_af_12f_26b,0
0x042C,33_94_cf_113_1ab_2bb_308_3b7_4e5_561_664_797_8b3_933_987_a29_b6e_c59_cfc_d42_efb,0
0x042D,0_52_a6_11c_177_190_1a5_1bb_21b_2ac_3ca_48b_57f_603_6ba_735_822_89e,0
0x042D,93f_97d_a9a,0
0x042F,1d_54_83_a6_ec,0
0x0437,0_43_a0_11a_16f_1a6,0
0x043C,1c_95_a8_ca_e3_179_21f_2f2_3a1_404_48c_52f_5e4_643_6da_73b_798_841,0
0x043D,26_6f_9d_b3_101_159_217_284_30b_3a4_408_44b_4cd_553_631_6bc_77a_85b_886_93a_974_a3f_b5f_c4c_e76_f7e_fee,0
0x043E,15_82_95_a8_be_136_208,0
0x0446,1c_59_93_a0_d7_f0_18d_211_2ca_355_393,0
0x0446,3ee_417_42d_455_4fb_59d_60d_62c_75e_7b9_7ea_860_89d,0
0x044B,47_8a_df_10a_134_14e_1c8_286_2e7_3a4_44d_47b_49e_566_5fa_694_703_7ac_7d7_82c_879_8dc_934_969_9cd_a82,0
0x044B,b0e_b75_d4c_dc1_e9a_eed,0
0x044B,eed,0
0x0455,15_58_f9_11a_130_1cf_288_3e7_4c3_509_5c8_6e4_761_866,0
0x0457,20_9c_c6_dc_109_1aa_1dc_29f_314_37e_3bb_37e_3f5_423_4c9_50f_5df_655_700_7be_80a_871_8ad,0
0x045B,47_aa_e4_109_170_1b0_1c9_210_223_288_34d_454_50e_578_622_688_71e_7c7_887_91e,0
0x045B,a36_af1,0
0x045D,3a_b1_eb_154,0
0x0462,0_1d_4b_70_de_136_174_1e5_207_27e_2fb_344,0
0x0464,0_1d_aa_128_17a_19c_1d4_21b,0
0x0471,15_4c_66_7a_99_112_112_172_28a_302_32e_3b2,0
0x0471,51d_543_589_5a3_5b6_5fc_714_72e_760_786,0
0x0472,1c_5c_6a_9b_b8_bf_121_186_22f_28f_3a8_47f_4b9,0
0x0475,15_3d_7e_a8_105_170_1a2_233_249,0
0x0486,39_9b_e1_fd_148_227_26a_28f_35d_3fa_4d5_58a_62e_6dd_735_7fe_844_8e6_956_a38,0
0x048E,0_1a0_23e_29d_2fe_37d_3be_405_4b2_4e9_5c6_627_7e0_8fa_a84_c2b,0
0x048F,0_174_206_219_2bf_2cc_322_350_369_370_510_535_56e_63b_812_b2f_b88,0
0x0493,99_34b_43c_4c8_554_812,0
0x0493,844_893_8d3_940_971_9dc_b4d_b87_bd7_e78_fa7_1002_10a2_11c2_129f_13f3,0
0x0496,23_cf_1be_1db_20c_213_274_20c_281_2b6_335_3c5_4bd_542_648_667_6e6_777_7a8_7de_82c_887_906_9d8_ade_b03_b28_b65_c0e_c42_c67_c8f_cde_d24,0
0x0497,15_c0_ef_11b,0
0x0497,1e5_21a_252_293_2e0_35e_3a1_3d0_417_443_4b8_50e_58e_628_678_6a4_70a_7ab_844_8dd_94b_a3c_b1d_b79,0
0x0497,b9a_bb7_bdd,0
0x049A,1f_5f_80_bf_12b_146_174_1bd_1e5_207_232_28a_33b_373_402_418_476_4ac_4cd_4fc_51b_537_562_59c_5e8_6ae_6e6_73d_775_7ac_7e1_81b,0
0x049D,1f,0
0x04A3,0_d_0_4a_94_ce_116_14a_166_17e,0
0x04A4,15_8e_98_bb_ce_d2_14e_171_1ff_218_21f_295_2a5_375_3c4_3d1_44b_497_4d0_5f7_6d4_738_862_875_88e_875_8b0,0
0x04A6,29_72_7f_95_ae_e2_187,0
0x04AA,ba_c7_e0_f0_179,0
0x04AA,196_1ae_237_2d2_355_3f2_4fd_59b_5c4_5ee_6fc_780_884,0
0x04AB,29_66_85_9d_e3_1b0_23c_2a4_2e5_379_400_45b_51c_5b3_621_6af_701_75f_793_7e5_852_898_8e8_979,0
0x04AC,5b_153_160_179_190_201_225_245_2bc_32b_374_445_466_57d_656_6b2_6fe_717_748_761_774_79c_7e0_7fd_748_761_774_79c_7e0_82e_748_761_774_79c_7e0_866_8e8_943_962_97b_9b8_9ef_a65,0
0x04AC,af7,0
0x04B4,25_98_ea_112_126_1fd_387_3e2_449_4e0_5ac_689_707_7e0_83b_887_8d0_991_a0f_a86_b62_ba0_d23_d81,0
0x04B7,15_a2_12e_147_1d1_270_302_3d5_440_594,0
